# Calibration Data Export
# Calibration ID: 16-08-24
# Date: 2025-07-08
# Gas Concentration: 61.0 ppm
# Mean Peak Area: 327249.7 µV*s
# Standard Deviation: 973.9 µV*s
# CV%: 0.30%
# Quality Score: 100.0/100
#
Run,Timestamp,Peak_Area_µVs,Peak_Height_µV,Outlier_Flag
2,1724091286,329083.43750,56960.70703,
3,1724091605,327573.68750,56602.97656,
4,1724091925,326494.43750,56742.41016,
5,1724092243,328335.93750,56927.39453,
6,1724092562,327568.65625,56931.39844,
7,1724092882,326474.15625,56521.72266,
8,1724093202,327188.00000,56939.32422,
9,1724093522,326439.34375,56752.82422,
10,1724093840,327470.06250,56912.01562,
24,1724090967,325869.03125,56719.54688,
