# Calibration Data Export
# Calibration ID: 07-05-25
# Date: 2025-07-08
# Gas Concentration: 61.0 ppm
# Mean Peak Area: 299163.9 µV*s
# Standard Deviation: 2226.8 µV*s
# CV%: 0.74%
# Quality Score: 100.0/100
#
Run,Timestamp,Peak_Area_µVs,Peak_Height_µV,Outlier_Flag
1,1746614619,293106.31250,51993.37500,
2,1746614943,298249.18750,52693.58594,
3,1746615266,298945.12500,52788.83594,
4,1746615587,299610.90625,52935.38672,
5,1746615910,299336.18750,52873.19531,
6,1746616232,299091.90625,52642.72656,
7,1746616554,301388.37500,52848.37109,
8,1746616877,300602.93750,52742.35547,
9,1746617201,299085.34375,52637.87891,
10,1746617523,300880.21875,52829.25781,
11,1746617848,300506.09375,52640.73438,
